column,unit,format,description
spl_22,,,Spline continuum coefficient 22
spl_22_err,,,
spl_2_err,,,
spl_3,,,Spline continuum coefficient 3
spl_3_err,,,
spl_4,,,Spline continuum coefficient 4
spl_4_err,,,
spl_5,,,Spline continuum coefficient 5
spl_5_err,,,
spl_6,,,Spline continuum coefficient 6
spl_6_err,,,
spl_7,,,Spline continuum coefficient 7
spl_7_err,,,
spl_8,,,Spline continuum coefficient 8
spl_8_err,,,
spl_9,,,Spline continuum coefficient 9
spl_9_err,,,
zline,,,Redshift where the lines where fit
line_civ_1549,,,Line flux of civ_1549 1e-20 erg/s/cm2
line_civ_1549_err,,,
line_h10,,,Line flux of h10 1e-20 erg/s/cm2
line_h10_err,,,
line_h11,,,Line flux of h11 1e-20 erg/s/cm2
line_h11_err,,,
line_h12,,,Line flux of h12 1e-20 erg/s/cm2
line_h12_err,,,
line_h7,,,Line flux of h7 1e-20 erg/s/cm2
line_h7_err,,,
line_h8,,,Line flux of h8 1e-20 erg/s/cm2
line_h8_err,,,
line_h9,,,Line flux of h9 1e-20 erg/s/cm2
line_h9_err,,,
line_ha,,,Line flux of ha 1e-20 erg/s/cm2
line_ha_err,,,
line_hei_6680,,,Line flux of hei_6680 1e-20 erg/s/cm2
line_hei_6680_err,,,
line_heii_1640,,,Line flux of heii_1640 1e-20 erg/s/cm2
line_heii_1640_err,,,
line_nii_6549,,,Line flux of nii_6549 1e-20 erg/s/cm2
line_nii_6549_err,,,
line_nii_6584,,,Line flux of nii_6584 1e-20 erg/s/cm2
line_nii_6584_err,,,
line_oii_7323,,,Line flux of oii_7323 1e-20 erg/s/cm2
line_oii_7323_err,,,
line_oii_7332,,,Line flux of oii_7332 1e-20 erg/s/cm2
line_oii_7332_err,,,
line_sii_6717,,,Line flux of sii_6717 1e-20 erg/s/cm2
line_sii_6717_err,,,
line_sii_6731,,,Line flux of sii_6731 1e-20 erg/s/cm2
line_sii_6731_err,,,
line_siii_6314,,,Line flux of siii_6314 1e-20 erg/s/cm2
line_siii_6314_err,,,
escale0,,,0th coefficient of the uncertainty scaling
escale1,,,1st coefficient of the uncertainty scaling
line_ciii_1906,,,Line flux of ciii_1906 1e-20 erg/s/cm2
line_ciii_1906_err,,,
line_niv_1487,,,Line flux of niv_1487 1e-20 erg/s/cm2
line_niv_1487_err,,,
line_pah_3p29,,,Line flux of pah_3p29 1e-20 erg/s/cm2
line_pah_3p29_err,,,
line_pah_3p40,,,Line flux of pah_3p40 1e-20 erg/s/cm2
line_pah_3p40_err,,,
eqw_ariii_7138,,,Observed-frame equivalent width in ariii_7138
eqw_ariii_7753,,,Observed-frame equivalent width in ariii_7753
eqw_bra,,,Observed-frame equivalent width in bra
eqw_brb,,,Observed-frame equivalent width in brb
eqw_brd,,,Observed-frame equivalent width in brd
eqw_brg,,,Observed-frame equivalent width in brg
eqw_ciii_1906,,,Observed-frame equivalent width in ciii_1906
eqw_civ_1549,,,Observed-frame equivalent width in civ_1549
eqw_ha_nii,,,Observed-frame equivalent width in ha_nii
eqw_hb,,,Observed-frame equivalent width in hb
eqw_hd,,,Observed-frame equivalent width in hd
eqw_hei_1083,,,Observed-frame equivalent width in hei_1083
eqw_hei_3889,,,Observed-frame equivalent width in hei_3889
eqw_hei_5877,,,Observed-frame equivalent width in hei_5877
eqw_hei_7065,,,Observed-frame equivalent width in hei_7065
eqw_hei_8446,,,Observed-frame equivalent width in hei_8446
eqw_heii_1640,,,Observed-frame equivalent width in heii_1640
eqw_heii_4687,,,Observed-frame equivalent width in heii_4687
eqw_hg,,,Observed-frame equivalent width in hg
eqw_lya,,,Observed-frame equivalent width in lya
eqw_mgii,,,Observed-frame equivalent width in mgii
eqw_neiii_3867,,,Observed-frame equivalent width in neiii_3867
eqw_neiii_3968,,,Observed-frame equivalent width in neiii_3968
eqw_nev_3346,,,Observed-frame equivalent width in nev_3346
eqw_nevi_3426,,,Observed-frame equivalent width in nevi_3426
eqw_niii_1750,,,Observed-frame equivalent width in niii_1750
eqw_niv_1487,,,Observed-frame equivalent width in niv_1487
eqw_oi_6302,,,Observed-frame equivalent width in oi_6302
eqw_oii,,,Observed-frame equivalent width in oii
eqw_oii_7325,,,Observed-frame equivalent width in oii_7325
eqw_oiii,,,Observed-frame equivalent width in oiii
eqw_oiii_1663,,,Observed-frame equivalent width in oiii_1663
eqw_oiii_4363,,,Observed-frame equivalent width in oiii_4363
eqw_oiii_4959,,,Observed-frame equivalent width in oiii_4959
eqw_oiii_5007,,,Observed-frame equivalent width in oiii_5007
eqw_pa10,,,Observed-frame equivalent width in pa10
eqw_pa8,,,Observed-frame equivalent width in pa8
eqw_pa9,,,Observed-frame equivalent width in pa9
eqw_paa,,,Observed-frame equivalent width in paa
eqw_pab,,,Observed-frame equivalent width in pab
eqw_pad,,,Observed-frame equivalent width in pad
eqw_pag,,,Observed-frame equivalent width in pag
eqw_pfb,,,Observed-frame equivalent width in pfb
eqw_pfd,,,Observed-frame equivalent width in pfd
eqw_pfe,,,Observed-frame equivalent width in pfe
eqw_pfg,,,Observed-frame equivalent width in pfg
eqw_sii,,,Observed-frame equivalent width in sii
eqw_siii_9068,,,Observed-frame equivalent width in siii_9068
eqw_siii_9531,,,Observed-frame equivalent width in siii_9531
line_ha_nii,,,Line flux of combined Ha+NII with 3:1 ratio
line_ha_nii_err,,,
eqw_h10,,,Observed-frame equivalent width in h10
eqw_h11,,,Observed-frame equivalent width in h11
eqw_h12,,,Observed-frame equivalent width in h12
eqw_h7,,,Observed-frame equivalent width in h7
eqw_h8,,,Observed-frame equivalent width in h8
eqw_h9,,,Observed-frame equivalent width in h9
eqw_ha,,,Observed-frame equivalent width in ha
eqw_hei_6680,,,Observed-frame equivalent width in hei_6680
eqw_nii_6549,,,Observed-frame equivalent width in nii_6549
eqw_nii_6584,,,Observed-frame equivalent width in nii_6584
eqw_oii_7323,,,Observed-frame equivalent width in oii_7323
eqw_oii_7332,,,Observed-frame equivalent width in oii_7332
eqw_sii_6717,,,Observed-frame equivalent width in sii_6717
eqw_sii_6731,,,Observed-frame equivalent width in sii_6731
eqw_siii_6314,,,Observed-frame equivalent width in siii_6314
sn_line,,.1f,Maximum emission line SN
ztime,,,UNIX time of redshift fit
line_ci_9850,,,Line flux of ci_9850 1e-20 erg/s/cm2
line_ci_9850_err,,,
line_feii_11128,,,Line flux of feii_11128 1e-20 erg/s/cm2
line_feii_11128_err,,,
line_pii_11886,,,Line flux of pii_11886 1e-20 erg/s/cm2
line_pii_11886_err,,,
line_feii_12570,,,Line flux of feii_12570 1e-20 erg/s/cm2
line_feii_12570_err,,,
eqw_ci_9850,,,Observed-frame equivalent width in ci_9850
eqw_feii_11128,,,Observed-frame equivalent width in feii_11128
eqw_pii_11886,,,Observed-frame equivalent width in pii_11886
eqw_feii_12570,,,Observed-frame equivalent width in feii_12570
line_feii_16440,,,Line flux of feii_16440 1e-20 erg/s/cm2
line_feii_16440_err,,,
line_feii_16877,,,Line flux of feii_16877 1e-20 erg/s/cm2
line_feii_16877_err,,,
line_brf,,,Line flux of brf 1e-20 erg/s/cm2
line_brf_err,,,
line_feii_17418,,,Line flux of feii_17418 1e-20 erg/s/cm2
line_feii_17418_err,,,
line_bre,,,Line flux of bre 1e-20 erg/s/cm2
line_bre_err,,,
line_feii_18362,,,Line flux of feii_18362 1e-20 erg/s/cm2
line_feii_18362_err,,,
eqw_feii_16440,,,Observed-frame equivalent width in feii_16440
eqw_feii_16877,,,Observed-frame equivalent width in feii_16877
eqw_brf,,,Observed-frame equivalent width in brf
eqw_feii_17418,,,Observed-frame equivalent width in feii_17418
eqw_bre,,,Observed-frame equivalent width in bre
eqw_feii_18362,,,Observed-frame equivalent width in feii_18362
valid,,,Redshift matches best z from visual inspection
objid,,,Unique source identifier
z_best,,,Best redshift estimate for unique sources
ztype,,,Source for z_best (G)rating or (P)rism
z_prism,,,Best redshift estimate from prism spectra
z_grating,,,Best redshift estiamte from grating spectra
phot_correction,,.2f,Scale to photometry -log10(c) = -0.902 log10(flux_radius) + 0.649 log10(profsig) + 0.605
phot_flux_radius,,.2f,FLUX_RADIUS from photometric source
phot_dr,,,Offset to the nearest source in the photometric catalog in arcsec
file_phot,,,Filename of the photometric catalog
id_phot,,,ID number in the photometric cadtalog
phot_mag_auto,,.2f,Kron MAG_AUTO in the photometric detection image
phot_f090w_tot_1,,,Total f090w flux density from the photometric catalog
phot_f090w_etot_1,,,
phot_f115w_tot_1,,,Total f115w flux density from the photometric catalog
phot_f115w_etot_1,,,
phot_f150w_tot_1,,,Total f150w flux density from the photometric catalog
phot_f150w_etot_1,,,
phot_f200w_tot_1,,,Total f200w flux density from the photometric catalog
phot_f200w_etot_1,,,
phot_f277w_tot_1,,,Total f277w flux density from the photometric catalog
phot_f277w_etot_1,,,
phot_f356w_tot_1,,,Total f356w flux density from the photometric catalog
phot_f356w_etot_1,,,
phot_f410m_tot_1,,,Total f410m flux density from the photometric catalog
phot_f410m_etot_1,,,
phot_f444w_tot_1,,,Total f444w flux density from the photometric catalog
phot_f444w_etot_1,,,
phot_Av,,,Av from the photoz fit
phot_mass,,,stellar mass from the photoz fit
phot_restU,,,flux density of the redshifted U band from the photoz fit
phot_restV,,,flux density of the redshifted V band from the photoz fit
phot_restJ,,,flux density of the redshifted J band from the photoz fit
z_phot,,,photometric redshift
phot_LHa,,,Halpha luminosity from the photo-z fit
phot_LOIII,,,OIII luminosity from the photo-z fit
phot_LOII,,,OII luminosity from the photo-z fit
grade,,,Grade from visual inspection
zgrade,,9.5f,Redshift from visual inspection
