ID	RAdeg	DECdeg	age	age_err16	age_err84	met	met_err16	met_err84	afe	afe_err16	afe_err84
227516	2.72140	150.21935	4.349	0.421	0.472	0.016	0.037	0.037	0.269	0.086	0.089
228215	2.73177	150.22925	5.053	0.506	0.241	0.063	0.022	0.038	0.226	0.032	0.030
228380	2.73459	150.22466	5.426	0.568	0.670	-0.219	0.033	0.037	0.248	0.040	0.040
213004	2.55203	150.02788	3.004	0.158	0.142	0.207	0.020	0.030	0.165	0.020	0.027
213141	2.55571	150.00031	2.510	0.476	0.581	0.134	0.128	0.091	0.169	0.079	0.087
215585	2.58045	150.05196	2.800	0.303	0.340	0.188	0.051	0.050	0.057	0.021	0.020
216353	2.59202	149.99821	2.919	0.246	0.336	0.108	0.044	0.042	-0.070	0.036	0.037
217260	2.60288	150.04343	3.513	0.613	0.624	0.010	0.049	0.068	-0.142	0.057	0.060
219324	2.62822	150.07722	2.889	0.286	0.350	0.076	0.051	0.054	-0.119	0.037	0.039
221163	2.64722	150.06154	4.680	0.641	0.715	-0.134	0.053	0.050	-0.127	0.043	0.045
226721	2.71405	150.01112	2.473	0.280	0.222	0.152	0.050	0.049	0.117	0.029	0.034
229551	2.75023	150.04935	4.073	0.161	0.151	-0.154	0.015	0.021	0.141	0.029	0.033
229591	2.75349	149.99374	2.497	0.384	0.464	0.192	0.082	0.076	-0.032	0.054	0.051
232962	2.79422	150.04489	5.570	0.675	0.854	-0.223	0.047	0.045	-0.024	0.057	0.051
244738	2.57447	149.88196	4.420	0.688	0.668	-0.099	0.042	0.059	-0.026	0.048	0.048
245252	2.57799	149.87791	3.079	0.161	0.170	0.084	0.020	0.028	0.066	0.018	0.020
247826	2.61729	149.89932	5.256	0.987	1.035	0.156	0.064	0.081	0.416	0.068	0.054
248829	2.62999	149.85596	2.402	0.302	0.384	-0.172	0.062	0.074	0.091	0.057	0.065
259363	2.76578	149.89336	3.106	0.183	0.237	0.082	0.035	0.037	0.191	0.044	0.044
91529	2.28218	150.49440	1.318	0.059	0.061	0.107	0.025	0.012	0.243	0.021	0.024
92258	2.29360	150.64722	4.605	0.834	0.710	-0.123	0.047	0.060	0.255	0.057	0.048
92979	2.30597	150.70879	4.256	0.492	0.517	0.032	0.044	0.052	0.096	0.047	0.046
94982	2.33336	150.63631	3.739	0.272	0.625	-0.138	0.052	0.025	-0.148	0.040	0.048
95303	2.33918	150.45276	2.570	0.323	0.324	-0.044	0.065	0.087	0.092	0.043	0.049
95323	2.34135	150.64320	2.237	0.278	0.511	0.331	0.082	0.080	0.163	0.054	0.058
97931	2.37928	150.66483	2.660	0.186	0.149	0.217	0.048	0.023	0.209	0.020	0.022
180774	2.45531	150.49973	2.887	0.411	0.497	-0.036	0.061	0.106	0.203	0.059	0.060
181945	2.46960	150.49603	1.904	0.053	0.054	0.110	0.011	0.010	0.236	0.018	0.014
183927	2.50037	150.61508	3.423	0.777	0.825	-0.092	0.067	0.114	0.080	0.071	0.075
185653	2.52242	150.45287	3.109	0.297	0.520	-0.014	0.046	0.043	-0.062	0.054	0.064
213449	2.55552	149.97467	2.777	0.159	0.104	0.175	0.027	0.033	0.169	0.022	0.028
215449	2.58122	149.98245	2.225	0.062	0.082	0.404	0.011	0.011	0.306	0.007	0.009
215951	2.58780	149.98904	2.988	0.121	0.168	-0.004	0.018	0.037	0.079	0.024	0.024
216897	2.59917	149.92725	1.801	0.081	0.116	0.307	0.082	0.016	-0.009	0.017	0.019
219726	2.63265	149.94386	3.286	0.523	0.493	0.202	0.082	0.089	0.126	0.057	0.061
230747	2.76922	149.91354	1.804	0.143	0.199	0.218	0.094	0.074	0.071	0.054	0.057
231554	2.78086	149.90155	2.465	0.368	0.810	0.362	0.117	0.083	0.315	0.068	0.075
243871	2.56753	149.75658	3.710	0.505	0.575	-0.104	0.049	0.045	0.001	0.045	0.066
246149	2.59288	149.81857	4.818	0.508	0.699	-0.076	0.043	0.038	-0.039	0.037	0.040
26438	1.76691	150.27818	2.797	0.257	0.396	-0.182	0.054	0.040	0.074	0.035	0.058
31835	1.84161	150.10934	2.372	0.262	0.323	0.303	0.059	0.046	0.061	0.030	0.031
37322	1.91871	150.26256	2.066	0.250	0.368	-0.153	0.091	0.144	0.114	0.078	0.081
37723	1.92339	150.13266	2.812	0.228	0.279	-0.039	0.043	0.056	0.283	0.049	0.051
38648	1.93503	150.12111	1.454	0.052	0.053	0.163	0.022	0.014	0.006	0.022	0.019
74563	2.02363	150.66780	2.909	0.133	0.113	-0.028	0.021	0.027	0.281	0.030	0.030
74882	2.02835	150.69608	3.508	0.409	0.533	-0.081	0.045	0.040	0.231	0.045	0.047
75008	2.03201	150.63889	1.552	0.120	0.086	0.237	0.021	0.054	0.044	0.023	0.025
77632	2.06852	150.45334	2.968	0.132	0.146	0.023	0.025	0.032	0.251	0.028	0.028
77662	2.07185	150.61674	2.922	0.236	0.317	-0.096	0.039	0.041	0.036	0.044	0.051
77745	2.07213	150.45413	2.926	0.439	0.214	0.426	0.032	0.070	0.236	0.021	0.022
86122	2.20054	150.65790	3.956	0.496	0.362	0.089	0.039	0.044	0.089	0.052	0.052
86907	2.21051	150.45659	2.420	0.174	0.275	0.009	0.078	0.053	0.119	0.028	0.024
88032	2.22835	150.45322	1.770	0.061	0.067	0.555	0.077	0.034	0.324	0.031	0.028
