specz,flag,Id_COS20_Classic,ra_COS20_Classic,dec_COS20_Classic,Id_COS20_Farmer,ra_COS20_Farmer,dec_COS20_Farmer,Id_COSMOS25,ra_COSMOS25,dec_COSMOS25,Id_COSMOS15
0.73727,4,8673,149.14354751399495,1.3991005492518023,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.74816,4,8677,150.7128336969715,1.4005880589206139,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.597,4,8804,150.17271574855724,1.400494575596914,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78049,4,8841,150.60275343256487,1.400118944860255,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67901,4,8864,149.58189027054974,1.4003737509772214,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67627,4,8912,149.7730541320817,1.3981820239173215,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.58547,4,9902,150.38573659179292,1.4018040116992254,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.02252,4,10053,150.38395247477376,1.400826114586615,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.9869,4,10161,149.52295368845805,1.3999049356484548,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05625,4,10198,149.7799420303779,1.400634915553282,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67139,4,10262,149.36113822227463,1.4003879972629463,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68216,4,10303,149.70992676154407,1.4025545046392949,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.5668,4,10470,149.222500431835,1.4022983428911329,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68322,4,10636,150.8633827279891,1.4019153022969133,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.82225,4,10934,149.96908889848416,1.4032834103856602,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7809,4,11224,150.9109437091348,1.4033284099641476,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.65684,4,11537,149.98393583113025,1.4040634244400527,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73735,4,11876,149.18271206457436,1.403300443276817,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66983,4,12189,150.69194222037237,1.3990991810187179,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.57211,4,12228,149.26931620503038,1.3997995504072887,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77016,4,12264,149.3957536959862,1.4042428168224925,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67078,4,12381,149.36240977229073,1.4030465270650168,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78067,4,12382,150.08356494976138,1.40418565687928,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.99467,4,12624,149.72173008337083,1.405883474607933,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7808,4,12982,149.9451631627602,1.4043518397668926,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.62467,4,13094,149.93007172569844,1.4054720626668957,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68311,2,13220,150.83303218738993,1.4047807540291877,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.81437,4,13265,150.15522617382948,1.405376613024196,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67427,4,13327,149.78090211618763,1.39909536466323,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.55762,4,13428,149.0929874316221,1.4042109342948723,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67327,4,13910,149.7811631934748,1.4007926807213125,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.70204,4,14215,150.3345047222264,1.405004336279605,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67912,4,14242,149.59701831158642,1.4042882028709476,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6701,4,14309,150.67813882582232,1.4044470045644184,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.61524,4,14858,150.00793846567504,1.4066293657364006,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05384,4,15247,149.7089278159125,1.4076405621930053,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.99101,4,15592,150.7610176722949,1.4081010071316962,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7803,4,15741,150.58520438581039,1.4084179332865905,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.75228,4,15849,149.78828433767217,1.407016570443104,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7927,4,16069,150.6925828745056,1.408915997253526,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.64721,4,16268,149.5273895432406,1.4043659855386195,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6925,4,16417,150.32324100222144,1.409082721772739,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.70616,4,16487,150.45929196460838,1.407885579562947,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.64723,4,16610,149.5255622871447,1.408755538816564,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68205,4,16780,149.6941968492351,1.4082949214584155,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7364,4,17248,150.45775774011295,1.4073669646765192,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05381,4,17253,150.68728096355133,1.4084532651070654,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05879,4,17659,149.92817137936794,1.4109531712482697,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.59192,4,17722,150.94997916044406,1.4093457472708049,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.76398,4,18107,149.51320249924495,1.4056449357561513,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.8105,14,18439,150.81794606299823,1.4088610598652094,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.81487,4,18471,150.15387085695482,1.410566224016929,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6675,4,18653,149.89966859435117,1.411672635123851,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66574,4,18912,151.02036601153927,1.4103193603843491,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73625,4,19250,149.63439079325997,1.4135024238141576,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78005,4,19526,150.10249277057937,1.411521250937598,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67844,4,19571,149.5490603536412,1.4079983310210824,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.65375,4,19573,150.00490723565977,1.4116410100799321,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.0563,4,19818,149.77032188078874,1.4110251565798277,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.70689,4,19828,149.86290147938507,1.4126205328815913,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98258,4,20015,149.54800949657712,1.410640780529687,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67658,4,20043,150.40957973039974,1.4102660553885062,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73627,4,20224,150.48060113688132,1.4137900664322958,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78108,4,20460,150.06031469790767,1.4141117252887088,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.99162,2,20501,149.16263861857195,1.413848689030253,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66972,4,20543,149.6217519052804,1.41250922368893,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66762,4,20778,150.79839533548062,1.4145448072040925,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.8075,4,20798,150.8185332922713,1.4123267170651044,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67486,4,20870,149.6742181325792,1.4098864529012258,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6701,3,20898,149.54434640046154,1.4130044910311121,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.81068,4,21112,149.57819939188144,1.4141331006909896,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.62398,4,21176,150.75671216560067,1.4135398321938724,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.79811,4,21282,150.33466431565157,1.4147412097217835,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.81386,4,21349,150.23895302204,1.4120263851620065,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78064,4,21393,150.00089938080308,1.4143109176625313,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73796,4,21514,150.45196398049848,1.4127485099669508,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.03746,4,21544,149.47654609718748,1.4100517855825245,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.79173,4,21621,149.5644433109148,1.4151551626422885,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77072,4,21995,149.65741687132976,1.4150405211291182,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66368,4,21996,149.94668275787953,1.4152135851736745,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.01041,4,22033,150.9119029782566,1.413026570482407,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6832,4,22069,149.08733642889732,1.4113029973561932,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73787,4,22154,150.462687791,1.4100794617397792,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.9855,4,22165,149.27345574372478,1.4148545496074534,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.74577,4,22233,149.77270520434874,1.4146758396833217,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98533,4,22320,149.27714424657543,1.4137646753883135,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78602,4,22445,150.8073424534005,1.4155517143196992,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68149,4,22799,149.3448162280714,1.4160845737616707,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98579,4,22872,149.51861026870188,1.414361701060622,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98497,4,22901,149.11769485798987,1.4145362286473588,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78006,4,23045,150.20955946520994,1.4154538499026925,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98498,4,23233,149.4133832519367,1.4157527867683097,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66574,4,23411,150.86518883192673,1.4152267969841865,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7781,4,23601,150.1262206878276,1.4151167701036584,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.99756,4,23639,149.64174011065018,1.4177765208686899,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.56585,4,23672,149.2131505414974,1.4132607509441353,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.781,4,23849,150.11044804904907,1.4166993102028187,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.99084,4,23928,150.68895876750952,1.417768968383669,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.01789,4,24004,149.4882552955107,1.4178600820515637,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66654,4,24163,151.02129724624288,1.4167179870818323,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.54955,4,24195,149.76500482357977,1.4162232502913623,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.60831,4,24350,149.07732676592735,1.418026433326482,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.03421,4,24388,149.15113580918066,1.4176985756433969,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66988,4,24987,149.81047966564134,1.419086315343824,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.5439,4,25014,149.57263765641545,1.4168632909935328,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78632,4,25235,149.47441421911049,1.4106496106783266,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7946,4,25515,150.55139534531523,1.4187383232924486,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77711,4,25563,150.4912708975785,1.4197729925225546,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73293,4,25628,150.51535105375115,1.4162754116255292,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
